county,state,msa,pmsa,pop.density,pop,pop.change,age6574,age75,crime,college,income,farm,democrat,republican,Perot,white,black,turnout
Autauga,AL,5240,,61,34222,11.8999996185,5.6999998093,4.0999999046,4996,14.5,32240,1.7999999523,30.8999996185,55.9000015259,12.3000001907,79.3173980713,20.0017528534,45.5408782959
Baldwin,AL,5160,,67,98280,35.4000015259,9.1999998093,6,3329,16.7999992371,30199,1.7000000477,26.2000007629,56.5,16.5,86.0449752808,12.8612127304,47.2893791199
Barbour,AL,,,29,25417,2,8.1999998093,6.4000000954,3192,11.8000001907,23838,2.4000000954,46.4000015259,42.9000015259,9.8000001907,55.545501709,44.0413894653,41.0394630432
Bibb,AL,,,28,16576,9.1999998093,6.6999998093,6,0,4.6999998093,23714,0.8999999762,43.2000007629,46.5,10.1999998093,78.7403488159,20.9821434021,40.5405387878
Blount,AL,1000,,62,39248,10.6000003815,7.4000000954,5.5999999046,2052,7,26323,4.6999998093,32.9000015259,53.7999992371,11.8000001907,97.8317337036,1.3274561167,42.0530967712
Bullock,AL,,,18,11042,3.7000000477,8.5,7.5999999046,3630,10,17796,2.5999999046,67.6999969482,26,5.5,27.4950199127,72.3238525391,43.6152877808
Butler,AL,,,28,21892,0.1000000015,8.8000001907,8,3530,8,21499,3.5,47.4000015259,41.2000007629,10.1999998093,59.6062507629,40.1881980896,38.726474762
Calhoun,AL,450,,191,116034,-2.7999999523,7.4000000954,5,4174,14.1999998093,28340,0.6999999881,38.4000015259,48.2000007629,11,80.0394744873,18.5962734222,36.8857421875
Chambers,AL,,,62,36876,-6,9.1999998093,7.6999998093,3173,8.8999996185,26331,1.2000000477,45.4000015259,43.4000015259,10.8999996185,63.9304695129,35.8525886536,35.5000534058
Cherokee,AL,,,36,19543,5.9000000954,8.8999996185,5.8000001907,3223,6.6999998093,24932,3.9000000954,53.5999984741,34.9000015259,10.6999998093,92.8925933838,6.605946064,40.3008766174
Chilton,AL,,,48,32458,8.5,7.8000001907,6.0999999046,3367,7.5,26203,3,34.2000007629,56.2000007629,9.3999996185,88.2586746216,11.3192434311,44.5745277405
Choctaw,AL,,,18,16018,-4.1999998093,7.5,6.4000000954,419,8.5,23609,3.4000000954,52.0999984741,40.5999984741,6.5,55.6436500549,44.1815452576,47.1969032288
Clarke,AL,,,22,27240,0.1000000015,7.0999999046,6,3828,10.8000001907,23080,1.7000000477,42.9000015259,46.9000015259,7.4000000954,57.0007324219,42.6762123108,43.0139503479
Clay,AL,,,22,13252,-2.7000000477,8.6000003815,8.3000001907,298,7.3000001907,24145,4.1999998093,36,49.7000007629,11.3000001907,83.3383636475,16.344701767,43.427406311
Cleburne,AL,,,23,12730,3.0999999046,7.6999998093,5.6999998093,1623,6.5,25900,4.6999998093,40.9000015259,46.2999992371,12,94.9253768921,4.6111545563,41.1390419006
Coffee,AL,,,61,40240,6.8000001907,7.5999999046,5.5999999046,2582,16.5,27653,3.5,37.2000007629,48.9000015259,13,81.2673950195,17.1893634796,38.600894928
Colbert,AL,2650,,88,51666,-3.7999999523,9,5.6999998093,3441,11.5,27862,1.3999999762,54.4000015259,36,9.3000001907,82.8784866333,16.5834388733,43.4308815002
Conecuh,AL,,,17,14054,-11.1999998093,9.3000001907,8,2306,6.4000000954,21231,2.5999999046,50,39.0999984741,8.8000001907,57.3715667725,42.1588172913,44.8769035339
Coosa,AL,,,17,11063,-2.5999999046,8.3000001907,6.1999998093,3019,6.3000001907,23472,4.3000001907,48.5999984741,41.0999984741,9.8999996185,65.4614486694,34.1860237122,43.3697929382
Covington,AL,,,36,36478,-0.200000003,9.5,7.6999998093,6519,9.1000003815,23257,4,35.7999992371,49,13.5,86.4932250977,13.0955648422,38.2751235962
Crenshaw,AL,,,22,13635,-4.5999999046,10,8.3000001907,2114,8.3999996185,21368,6.5999999046,45.4000015259,44.2000007629,9.1999998093,73.6927032471,25.9919319153,38.7972145081
Cullman,AL,,,94,67613,13.1999998093,8.1999998093,6.1999998093,2390,7.8000001907,25856,4.1999998093,36,49.5999984741,14.1999998093,98.7147445679,0.8282430768,42.9547576904
Dale,AL,2180,,89,49633,4.4000000954,5.5,3.9000000954,2242,13.5,27585,1.5,32.2999992371,51.5,15.3000001907,79.3121490479,17.8248348236,31.807466507
Dallas,AL,,,49,48130,-11,7.5,6.1999998093,7685,12.1999998093,20517,0.8000000119,56.4000015259,37.7000007629,5.6999998093,41.8055267334,57.8121757507,40.7313537598
De Kalb,AL,,,72,54651,4.1999998093,8.1999998093,6.4000000954,1248,7.0999999046,24836,5.1999998093,38.2000007629,48.7000007629,12.6999998093,96.9424133301,1.8810268641,39.4960746765
